id,card_id,name,rarity,type,element,sub_type,image_path,level,attack,health,description,expansion,card_number,skills,passive_skill,created_at,updated_at,spektra_cost,duplicate_group,effect_type,effect_value,effect_value_2,effect_target
52,water-alice,Alice,Rare,avatar,water,borah,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Alice.webp,2,14,12,Avatar - Borah Warrior,Fire and Water,GEN-052,"[{""id"":""ice-calibur"",""name"":""Ice Calibur"",""damage"":14,""conditions"":[],""description"":""Powerful ice sword strike"",""spektraCost"":[""water"",""neutral"",""neutral"",""neutral"",""neutral""]}]","{""name"":""Frost Aura"",""scope"":""active_or_reserve"",""damage"":0,""effect"":""Enemy Fire Element Avatars get -2 attack damage in their skills."",""description"":""Enemy Fire Element Avatars get -2 attack damage in their skills."",""spektraCost"":[]}","""2026-01-09T06:52:56.239Z""",,,GEN-052,,,,
53,water-clear,Clear,Rare,avatar,water,borah,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Clear.webp,2,3,14,Avatar - Borah Gunner,Fire and Water,GEN-053,"[{""id"":""shoot"",""name"":""Shoot"",""damage"":3,""conditions"":[],""description"":""Basic ranged attack"",""spektraCost"":[""neutral""]},{""id"":""water-turret"",""name"":""Water Turret"",""damage"":8,""conditions"":[],""description"":""Put 8 damage counter into 1 of opponent Avatar"",""spektraCost"":[""water"",""water"",""water"",""neutral""]}]",,"""2026-01-09T06:52:56.284Z""",,,GEN-053,,,,
54,water-maya,Maya,Uncommon,avatar,water,borah,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Maya.webp,2,4,16,Avatar - Borah Mage,Fire and Water,GEN-054,"[{""id"":""current-staff"",""name"":""Current Staff"",""damage"":4,""conditions"":[],""description"":""Water staff attack"",""spektraCost"":[""water"",""neutral""]},{""id"":""splashing-staff"",""name"":""Splashing Staff"",""damage"":8,""target"":""opponent_active_and_all_reserve"",""conditions"":[],""description"":""Deal 8 damage to opponent active avatar and 4 damage to each opponent reserve avatar."",""spektraCost"":[""water"",""water"",""neutral"",""neutral""]}]",,"""2026-01-09T06:52:56.331Z""",,,GEN-054,,,,
55,water-arctic,Arctic,Rare,avatar,water,kobar,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Arctic.webp,2,5,15,Avatar - Kobar Assassin,Fire and Water,GEN-055,"[{""id"":""ice-dagger"",""name"":""Ice Dagger"",""damage"":5,""conditions"":[],""description"":""Ice blade attack"",""spektraCost"":[""water"",""neutral""]},{""id"":""ice-blade"",""name"":""Ice Blade"",""damage"":7,""conditions"":[{""type"":""opponent_hp"",""value"":10,""effect"":{""type"":""damage_modification"",""value"":10}}],""description"":""If you opponent active avatar has 10 or lower HP, this attack become 10"",""spektraCost"":[""water"",""neutral"",""neutral""]}]",,"""2026-01-09T06:52:56.424Z""",,,GEN-055,,,,
56,water-langit,Langit,Rare,avatar,water,kobar,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Langit.webp,2,2,13,Avatar - Kobar Gunner,Fire and Water,GEN-056,"[{""id"":""water-gun"",""name"":""Water Gun"",""damage"":2,""conditions"":[],""description"":""Water projectile attack"",""spektraCost"":[""neutral""]},{""id"":""water-cannon"",""name"":""Water Cannon"",""damage"":7,""conditions"":[{""type"":""hand_empty"",""value"":true,""effect"":{""type"":""draw_card"",""value"":1}}],""description"":""If you dont have any card in hand, draw a card"",""spektraCost"":[""water"",""water"",""neutral""]}]",,"""2026-01-09T06:52:56.469Z""",,,GEN-056,,,,
57,water-sapphire,Sapphire,Uncommon,avatar,water,kobar,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Sapphire.webp,2,3,16,Avatar - Kobar Dancer,Fire and Water,GEN-057,"[{""id"":""aqua-whip"",""name"":""Aqua Whip"",""damage"":3,""conditions"":[],""description"":""Water whip attack"",""spektraCost"":[""water""]},{""id"":""water-dance"",""name"":""Water Dance"",""damage"":9,""conditions"":[{""type"":""opponent_element"",""value"":[""fire""],""effect"":{""type"":""damage_modification"",""value"":12}}],""description"":""If your opponent active avatar has Fire Element, this attack become 12"",""spektraCost"":[""water"",""neutral"",""neutral""]}]",,"""2026-01-09T06:52:56.516Z""",,,GEN-057,,,,
58,water-banyu-ghost-kuhaka,Banyu Ghost,Uncommon,avatar,water,kuhaka,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Banyu Ghost.webp,2,7,14,Avatar - Kuhaka Spirit,Fire and Water,GEN-058,"[{""id"":""bloody-cage"",""name"":""Bloody Cage"",""damage"":7,""conditions"":[{""type"":""self_damage"",""value"":1,""effect"":{""type"":""damage_self"",""value"":1}}],""description"":""Deal 1 damage to this Avatar after using this skill"",""spektraCost"":[""water"",""neutral"",""neutral""]},{""id"":""water-bomb"",""name"":""Water Bomb"",""damage"":9,""conditions"":[{""type"":""draw_cards"",""value"":2,""effect"":{""type"":""draw_cards"",""value"":2}}],""description"":""Draw 2 cards"",""spektraCost"":[""water"",""water"",""water"",""neutral"",""neutral""]}]",,"""2026-01-09T06:52:56.608Z""",,,GEN-058,,,,
59,water-lake-guardian,Lake Guardian,Rare,avatar,water,kuhaka,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Lake Guardian.webp,2,3,16,Avatar - Kuhaka Beast,Fire and Water,GEN-059,"[{""id"":""bite"",""name"":""Bite"",""damage"":3,""conditions"":[],""description"":""Vicious bite attack"",""spektraCost"":[""water""]},{""id"":""eternal-slumber"",""name"":""Eternal Slumber"",""damage"":2,""conditions"":[],""description"":""If the target has 5 or below HP, destroy that Avatar."",""spektraCost"":[""water"",""water"",""neutral"",""neutral"",""neutral""]}]",,"""2026-01-09T06:52:56.652Z""",,,GEN-059,,,,
60,water-the-count,The Count,Rare,avatar,water,kuhaka,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_The Count.webp,2,9,15,Avatar - Kuhaka Warrior,Fire and Water,GEN-060,"[{""id"":""blood-blade"",""name"":""Blood Blade"",""damage"":9,""conditions"":[{""type"":""opponent_tribe"",""value"":[""kobar"",""borah""],""effect"":{""type"":""damage_modification"",""value"":13}}],""description"":""This attack damage become 13 if the opponent is Kobar or Borah type."",""spektraCost"":[""water"",""neutral"",""neutral"",""neutral""]}]","{""name"":""Chilling Bone Mist"",""scope"":""active"",""damage"":0,""effect"":""Enemy non Kuhaka-Kujana type avatars have -1 attack damage in their skills"",""description"":""Enemy non Kuhaka-Kujana type avatars have -1 attack damage in their skills"",""spektraCost"":[]}","""2026-01-09T06:52:56.699Z""",,,GEN-060,,,,
61,water-banyu-ghost-kujana,Banyu Ghost,Uncommon,avatar,water,kujana,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Banyu Ghost Fem.webp,2,1,13,Avatar - Kujana Spirit,Fire and Water,GEN-061,"[{""id"":""water-string"",""name"":""Water String"",""damage"":1,""conditions"":[{""type"":""opponent_element"",""value"":[""fire""],""effect"":{""type"":""damage_modification"",""value"":4}}],""description"":""If your opponent active avatar were Fire Element, this skill damage become 4"",""spektraCost"":[""water""]},{""id"":""water-splash"",""name"":""Water Splash"",""damage"":5,""target"":""opponent_active_and_all_reserve"",""conditions"":[],""description"":""Deal 5 damage to opponent active avatar and 3 damage to each opponent reserve avatar."",""spektraCost"":[""water"",""water"",""neutral""]}]",,"""2026-01-09T06:52:56.789Z""",,,GEN-061,,,,
62,water-pontia,Pontia,Uncommon,avatar,water,kujana,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Pontia.webp,2,2,12,Avatar - Kujana Mage,Fire and Water,GEN-062,"[{""id"":""chilling-hand"",""name"":""Chilling Hand"",""damage"":2,""conditions"":[],""description"":""Ice-cold touch attack"",""spektraCost"":[""water""]},{""id"":""splashing-staff"",""name"":""Splashing Staff"",""damage"":8,""conditions"":[{""type"":""opponent_tribe"",""value"":[""kobar"",""borah""],""effect"":{""type"":""damage_modification"",""value"":12}}],""description"":""This attack damage become 12 if the opponent is Kobar or Borah type"",""spektraCost"":[""water"",""water"",""neutral"",""neutral""]}]",,"""2026-01-09T06:52:56.834Z""",,,GEN-062,,,,
63,water-whirlpool-demon,Whirlpool Demon,Uncommon,avatar,water,kujana,/attached_assets/card_images/GENESIS/water/avatars/Blue Avatars Common-Uncommon-Rare_Whirlpool Demon.webp,2,1,14,Avatar - Kujana Demon,Fire and Water,GEN-063,"[{""id"":""whirlpool"",""name"":""Whirlpool"",""damage"":1,""conditions"":[],""description"":""Put 3 damage into all opponent reserve avatars."",""spektraCost"":[""water"",""neutral""]},{""id"":""water-torrent"",""name"":""Water Torrent"",""damage"":10,""conditions"":[],""description"":""Put 5 damage counter into 1 of opponent reserve avatar."",""spektraCost"":[""water"",""neutral"",""neutral"",""neutral""]}]",,"""2026-01-09T06:52:56.881Z""",,,GEN-063,,,,
64,water-telang-tea,Telang Tea,Uncommon,spell,water,,/attached_assets/card_images/GENESIS/water/spells/Blue Elemental Spell for Apps_Spell - Telang Tea.webp,1,0,0,,Fire and Water,GEN-064,,,"""2026-01-09T06:52:56.925Z""",,"[""water"",""water""]",GEN-064,heal,3,,select_player_avatar
65,water-ocean-memory,Ocean Memory,Common,spell,water,,/attached_assets/card_images/GENESIS/water/spells/Blue Elemental Spell for Apps_Spell - Ocean Memory.webp,1,0,0,,Fire and Water,GEN-065,,,"""2026-01-09T06:52:56.971Z""",,"[""water""]",GEN-065,draw_discard,1,1,player
66,water-liquid-book,Liquid Book,Uncommon,spell,water,,/attached_assets/card_images/GENESIS/water/spells/Blue Elemental Spell for Apps_Spell - Liquid Book.webp,1,0,0,,Fire and Water,GEN-066,,,"""2026-01-09T06:52:57.015Z""",,"[""water"",""neutral""]",GEN-066,reveal_choose,2,,player
67,water-dew-drop,Dew Drop,Uncommon,spell,water,,/attached_assets/card_images/GENESIS/water/spells/Blue Elemental Spell for Apps_Spell - Dew Drop.webp,1,0,0,,Fire and Water,GEN-067,,,"""2026-01-09T06:52:57.061Z""",,"[""water"",""water""]",GEN-067,peek_place_draw,1,1,player
68,water-healing-current,Healing Current,Common,spell,water,,/attached_assets/card_images/GENESIS/water/spells/Blue Elemental Spell for Apps_Spell - Healing Current.webp,1,0,0,,Fire and Water,GEN-068,,,"""2026-01-09T06:52:57.106Z""",,"[""water"",""water"",""neutral""]",GEN-068,heal,2,,all_player_water_avatars
69,water-deepsea-insight,Deepsea Insight,Uncommon,spell,water,,/attached_assets/card_images/GENESIS/water/spells/Blue Elemental Spell for Apps_Spell - Deepsea Insight.webp,1,0,0,,Fire and Water,GEN-069,,,"""2026-01-09T06:52:57.153Z""",,"[""water""]",GEN-069,reveal_choose,3,,player
70,water-water-current,Water Current,Uncommon,spell,water,,/attached_assets/card_images/GENESIS/water/spells/Blue Elemental Spell for Apps_Spell - Water Current.webp,1,0,0,,Fire and Water,GEN-070,,,"""2026-01-09T06:52:57.197Z""",,"[""water"",""water"",""water"",""neutral""]",GEN-070,discard_draw,3,,player
71,water-glacier-armor,Glacier Armor,Uncommon,ritualArmor,water,,/attached_assets/card_images/GENESIS/water/ritualarmor/Blue Elemental Spell for Apps_Ritual Armor - Glacier Armor.webp,1,0,0,,Fire and Water,GEN-071,,,"""2026-01-09T06:52:57.244Z""",,"[""water"",""water"",""water"",""water""]",GEN-071,,,,
72,water-frozen-body,Frozen Body,Common,ritualArmor,water,,/attached_assets/card_images/GENESIS/water/ritualarmor/Blue Elemental Spell for Apps_Ritual Armor - Frozen Body.webp,1,0,0,,Fire and Water,GEN-072,,,"""2026-01-09T06:52:57.289Z""",,"[""water"",""water"",""water"",""neutral"",""neutral""]",GEN-072,,,,
73,water-relearn,Relearn,Uncommon,quickSpell,water,,/attached_assets/card_images/GENESIS/water/quickspells/Blue Elemental Spell for Apps_Quick Spell - Relearn.webp,1,0,0,,Fire and Water,GEN-073,,,"""2026-01-09T06:52:57.335Z""",,"[""water"",""neutral"",""neutral""]",GEN-073,draw,2,,player
74,water-check,Check,Common,spell,water,,/attached_assets/card_images/GENESIS/water/spells/Blue Elemental Spell for Apps_Spell - Check.webp,1,0,0,,Fire and Water,GEN-074,,,"""2026-01-09T06:52:57.379Z""",,"[""water""]",GEN-074,peek_place,1,,player
75,water-water-shield,Water Shield,Common,quickSpell,water,,/attached_assets/card_images/GENESIS/water/quickspells/Blue Elemental Spell for Apps_Quick Spell - Water Shield.webp,1,0,0,,Fire and Water,GEN-075,,,"""2026-01-09T06:52:57.426Z""",,"[""water"",""water""]",GEN-075,shield,2,,select_player_avatar
76,water-energize,Energize,Common,quickSpell,water,,/attached_assets/card_images/GENESIS/water/quickspells/Blue Elemental Spell for Apps_Quick Spell - Energize.webp,1,0,0,,Fire and Water,GEN-076,,,"""2026-01-09T06:52:57.471Z""",,"[""water"",""water"",""neutral"",""neutral""]",GEN-076,heal,3,,all_player_avatars
77,water-blink,Blink,Common,quickSpell,water,,/attached_assets/card_images/GENESIS/water/quickspells/Blue Elemental Spell for Apps_Quick Spell - Blink.webp,1,0,0,,Fire and Water,GEN-077,,,"""2026-01-09T06:52:57.517Z""",,"[""water"",""water"",""neutral""]",GEN-077,counter,1,,player
78,water-lake-stage,Lake Stage,Common,field,water,,/attached_assets/card_images/GENESIS/water/fieldspells/Blue Elemental Spell for Apps_Field Spell - Lake Stage.webp,1,0,0,Water element Avatar gain +1 damage in their skills,Fire and Water,GEN-078,,,"""2026-01-09T06:52:57.562Z""",,"[""water"",""water"",""water""]",GEN-078,,,,
79,water-glacier-stage,Glacier Stage,Uncommon,field,water,,/attached_assets/card_images/GENESIS/water/fieldspells/Blue Elemental Spell for Apps_Field Spell - Glacier Stage.webp,1,0,0,Fire element Avatar skill get -2 damage in their skills,Fire and Water,GEN-079,,,"""2026-01-09T06:52:57.608Z""",,"[""water"",""water"",""water"",""neutral"",""neutral""]",GEN-079,,,,
80,water-city-river,City River,Uncommon,field,water,,/attached_assets/card_images/GENESIS/water/fieldspells/Blue Elemental Spell for Apps_Field Spell - City River.webp,1,0,0,"Everytime Water element Avatar using skill, its user draw 1 card from deck",Fire and Water,GEN-080,,,"""2026-01-09T06:52:57.653Z""",,"[""water"",""water"",""neutral"",""neutral""]",GEN-080,,,,
,,,,,,,,,,,,,,,,,,,,,,,
81,neutral-battle-preparation,Battle Preparation,Uncommon,item,neutral,utility,/attached_assets/card_images/GENESIS/neutral/Non Elemental For Apps_Item - Battle Preps.webp,1,0,0,"Discard all cards in hand, then draw 5 cards from deck.",Fire and Water,GEN-081,,,"""2026-01-09T07:02:09.415Z""","""2026-02-17T13:48:00.143Z""",[],GEN-089,discard_draw,5,,player
82,neutral-graveyard-relic,Graveyard Relic,Rare,item,neutral,utility,/attached_assets/card_images/GENESIS/neutral/Non Elemental For Apps_Item - Graveyard Relic.webp,1,0,0,"Discard 2 card, then choose 1 Avatar card from graveyard and put it into your hand.",Fire and Water,GEN-082,,,"""2026-01-09T07:02:09.458Z""","""2026-02-17T13:48:00.185Z""",[],GEN-090,discard_search,2,,player
83,neutral-jamu-jahe-merah,Jamu Jahe Merah,Common,item,neutral,healing,/attached_assets/card_images/GENESIS/neutral/Non Elemental For Apps_Item - Jamu Jahe Merah.webp,1,0,0,"Discard a card, then heal 5 damage from target avatar.",Fire and Water,GEN-083,,,"""2026-01-09T07:02:09.505Z""","""2026-02-17T13:48:00.232Z""",[],GEN-091,discard_heal,1,5,select_player_avatar
84,neutral-jamu-kencur,Jamu Kencur,Common,item,neutral,healing,/attached_assets/card_images/GENESIS/neutral/Non Elemental For Apps_Item - Kencur.webp,1,0,0,Heal 3 damage from target Avatar.,Fire and Water,GEN-084,,,"""2026-01-09T07:02:09.549Z""","""2026-02-17T13:48:00.274Z""",[],GEN-092,heal,3,,select_player_avatar
85,neutral-recruitment-scroll,Recruitment Scroll,Uncommon,item,neutral,utility,/attached_assets/card_images/GENESIS/neutral/Non Elemental For Apps_Item - Rec Scroll.webp,1,0,0,"Discard 1 Avatar card, then search the deck for an Avatar card who has same element with the discarded card.",Fire and Water,GEN-085,,,"""2026-01-09T07:02:09.596Z""","""2026-02-17T13:48:00.321Z""",[],GEN-093,discard_search,1,,player
86,neutral-prize,Prize,Common,spell,neutral,utility,/attached_assets/card_images/GENESIS/neutral/Non Elemental For Apps_Spell - Prize.webp,1,0,0,Draw 1 card.,Fire and Water,GEN-086,,,"""2026-01-09T07:02:09.640Z""","""2026-02-17T13:48:00.362Z""","[""neutral""]",GEN-094,draw,1,,player
87,neutral-golden-crates,Golden Crates,Uncommon,spell,neutral,utility,/attached_assets/card_images/GENESIS/neutral/Non Elemental For Apps_Spell - Golden Crates.webp,1,0,0,Draw 2 card.,Fire and Water,GEN-087,,,"""2026-01-09T07:02:09.687Z""","""2026-02-17T13:48:00.409Z""","[""neutral"",""neutral""]",GEN-095,draw,2,,player
88,neutral-crates,Crates,Common,quickSpell,neutral,utility,/attached_assets/card_images/GENESIS/neutral/Non Elemental For Apps_Spell - Crates.webp,1,0,0,Draw 1 card.,Fire and Water,GEN-088,,,"""2026-01-09T07:02:09.730Z""","""2026-02-17T13:48:00.450Z""","[""neutral"",""neutral""]",GEN-096,draw,1,,player
89,neutral-energy-dagger,Energy Dagger,Uncommon,equipment,neutral,equipment,/attached_assets/card_images/GENESIS/neutral/Non Elemental For Apps_Equipment - Energy Dagger.webp,1,0,0,"After this card casted, equip it into target Avatar. Target avatar get ability, +1 damage each time you pay extra energy when attacking opponent. Pay 1 to equip into another Avatar.",Fire and Water,GEN-089,,,"""2026-01-09T07:02:09.778Z""","""2026-02-17T13:48:00.496Z""","[""neutral"",""neutral"",""neutral""]",GEN-097,buff,1,,select_player_avatar
90,neutral-livin-dagger,Livin Dagger,Common,equipment,neutral,equipment,/attached_assets/card_images/GENESIS/neutral/Non Elemental For Apps_Equipment - Livin Dagger.webp,1,0,0,"After this card casted, equip it into target Kuhaka/Kujana Avatar. Equipped avatar get ability +1 damage when attacking opponent. And get 1 damage to itself each attack. Pay 1 to equip into another Avatar.",Fire and Water,GEN-090,,,"""2026-01-09T07:02:09.824Z""","""2026-02-17T13:48:00.538Z""","[""neutral"",""neutral""]",GEN-098,,,,
91,neutral-sacred-box,Sacred Box,Rare,equipment,neutral,equipment,/attached_assets/card_images/GENESIS/neutral/Non Elemental For Apps_Equipment - Sacred Box.webp,1,0,0,"After this card casted, equip it into target Kobar/Borah Avatar. Equipped avatar get ability remove 1 battle damage each attack. Pay 1 to equip into another Avatar. You cant have more than 1 Sacred Box on field.",Fire and Water,GEN-091,,,"""2026-01-09T07:02:09.872Z""","""2026-02-17T13:48:00.585Z""","[""neutral"",""neutral"",""neutral"",""neutral""]",GEN-099,,,,
92,neutral-haunted-stage,Haunted Stage,Uncommon,field,neutral,,/attached_assets/card_images/GENESIS/neutral/Non Elemental For Apps_Field Spell - Haunted Stage.webp,1,0,0,Avatars with Kuhaka and Kujana type get +1 additional damage. Also the avatar get 1 damage counter after attacking.,Fire and Water,GEN-092,,,"""2026-01-09T07:02:09.915Z""","""2026-02-17T13:48:00.626Z""","[""neutral"",""neutral"",""neutral"",""neutral""]",GEN-100,,,,
93,neutral-sanggar,Sanggar,Uncommon,field,neutral,,/attached_assets/card_images/GENESIS/neutral/Non Elemental For Apps_Field Spell - Sanggar.webp,1,0,0,Avatars with Kobar or Borah type get +2 max HP. Reduce every attack from non Kobar and Borah type by one damage (aftermath),Fire and Water,GEN-093,,,"""2026-01-09T07:02:09.963Z""","""2026-02-17T13:48:00.672Z""","[""neutral"",""neutral"",""neutral"",""neutral""]",GEN-101,,,,
,,,,,,,,,,,,,,,,,,,,,,,
94,fire-witch-trainee-sr,Witch Trainee,Super Rare,avatar,fire,kujana,/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Witch Trainee.webp,1,2,6,Avatar - Kujana Witch,Fire and Water,GEN-094,"[{""id"":""doomflare"",""name"":""Doomflare"",""damage"":2,""conditions"":[{""type"":""opponent_tribe"",""value"":[""borah"",""kobar""],""effect"":{""type"":""damage_modification"",""value"":3}}],""description"":""This attack damage become 3 if the opponent is Borah or Kobar type Avatar"",""spektraCost"":[""fire"",""fire""]}]",,"""2026-01-09T06:52:51.395Z""",,,GEN-001,,,,
95,fire-shaman-kujana-sr,Shaman,Super Rare,avatar,fire,kujana,/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Shaman B.webp,1,1,6,Avatar - Kujana Witch,Fire and Water,GEN-095,"[{""id"":""spread-flame"",""name"":""Spread Flame"",""damage"":1,""target"":""opponent_active_and_all_reserve"",""conditions"":[],""description"":""Deal 1 damage to opponent active avatar and 1 damage to each opponent reserve avatar."",""spektraCost"":[""fire"",""fire""]}]",,"""2026-01-09T06:52:53.610Z""",,,GEN-002,,,,
96,fire-repo-girl-sr,Repo Girl,Super Rare,avatar,fire,kujana,/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Repo Girl.webp,1,2,5,Avatar - Kujana Human,Fire and Water,GEN-096,"[{""id"":""kick"",""name"":""Kick"",""damage"":2,""conditions"":[],""description"":""Basic attack"",""spektraCost"":[""fire""]}]",,"""2026-01-09T06:52:53.662Z""",,,GEN-003,,,,
97,fire-thug-sr,Thug,Super Rare,avatar,fire,kuhaka,/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Thug A.webp,1,1,5,Avatar - Kuhaka Human,Fire and Water,GEN-097,"[{""id"":""kick"",""name"":""Kick"",""damage"":1,""conditions"":[],""description"":""Basic attack"",""spektraCost"":[""neutral""]}]",,"""2026-01-09T06:52:53.711Z""",,,GEN-004,,,,
98,fire-shaman-kuhaka-sr,Shaman,Super Rare,avatar,fire,kuhaka,/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Shaman A.webp,1,3,6,Avatar - Kuhaka Witch,Fire and Water,GEN-098,"[{""id"":""concentrated-flame"",""name"":""Concentrated Flame"",""damage"":3,""conditions"":[],""description"":""Direct flame attack"",""spektraCost"":[""fire"",""fire""]}]",,"""2026-01-09T06:52:53.759Z""",,,GEN-005,,,,
99,fire-goldie-sr,Goldie,Super Rare,avatar,fire,kuhaka,/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Goldie.webp,1,1,8,Avatar - Kuhaka Human,Fire and Water,GEN-099,"[{""id"":""body-slam"",""name"":""Body Slam"",""damage"":1,""conditions"":[],""description"":""Physical attack"",""spektraCost"":[""fire""]}]",,"""2026-01-09T06:52:53.804Z""",,,GEN-006,,,,
100,fire-kobar-trainee-a-sr,Kobar Trainee A,Super Rare,avatar,fire,kobar,/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Kobar Trainee A.webp,1,4,6,Avatar - Kobar Fighter,Fire and Water,GEN-100,"[{""id"":""reckless-fire"",""name"":""Reckless Fire"",""damage"":4,""conditions"":[{""type"":""self_damage"",""value"":1,""effect"":{""type"":""damage_self"",""value"":1}}],""description"":""Deal 1 damage to self after attack."",""spektraCost"":[""fire"",""fire""]}]",,"""2026-01-09T06:52:53.851Z""",,,GEN-007,,,,
101,fire-kobar-trainee-b-sr,Kobar Trainee B,Super Rare,avatar,fire,kobar,/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Kobar Trainee B.webp,1,2,5,Avatar - Kobar Fighter,Fire and Water,GEN-101,"[{""id"":""ash-flick"",""name"":""Ash Flick"",""damage"":2,""conditions"":[],""description"":""Basic fire attack"",""spektraCost"":[""fire""]}]",,"""2026-01-09T06:52:53.898Z""",,,GEN-008,,,,
102,fire-kobar-trainee-c-sr,Kobar Trainee C,Super Rare,avatar,fire,kobar,/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Kobar Trainee C.webp,1,2,5,Avatar - Kobar Fighter,Fire and Water,GEN-102,"[{""id"":""wildbone-blade"",""name"":""Wildbone Blade"",""damage"":2,""conditions"":[{""type"":""opponent_element"",""value"":[""air""],""effect"":{""type"":""damage_modification"",""value"":3}}],""description"":""This attack damage become 3 if the opponent is Air Element Avatar"",""spektraCost"":[""fire"",""fire""]}]",,"""2026-01-09T06:52:53.946Z""",,,GEN-009,,,,
103,fire-borah-trainee-a-sr,Borah Trainee A,Super Rare,avatar,fire,borah,/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Borah Trainee A.webp,1,1,5,Avatar - Borah Fighter,Fire and Water,GEN-103,"[{""id"":""kick"",""name"":""Kick"",""damage"":1,""conditions"":[],""description"":""Basic attack"",""spektraCost"":[""neutral""]}]",,"""2026-01-09T06:52:53.993Z""",,,GEN-010,,,,
104,fire-borah-trainee-b-sr,Borah Trainee B,Super Rare,avatar,fire,borah,/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Borah Trainee B.webp,1,1,5,Avatar - Borah Fighter,Fire and Water,GEN-104,"[{""id"":""burning-step"",""name"":""Burning Step"",""damage"":1,""target"":""opponent_active_and_all_reserve"",""conditions"":[],""description"":""Deal 1 damage to opponent active avatar and 1 damage to each opponent reserve avatar."",""spektraCost"":[""fire"",""neutral""]}]",,"""2026-01-09T06:52:54.041Z""",,,GEN-011,,,,
105,fire-borah-trainee-c-sr,Borah Trainee C,Super Rare,avatar,fire,borah,/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Borah Trainee C.webp,1,2,6,Avatar - Borah Fighter,Fire and Water,GEN-105,"[{""id"":""ash-flick"",""name"":""Ash Flick"",""damage"":2,""conditions"":[],""description"":""Basic fire attack"",""spektraCost"":[""fire""]}]",,"""2026-01-09T06:52:54.085Z""",,,GEN-012,,,,
106,fire-radja-sr,Radja,Super Rare,avatar,fire,kobar,/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Radja.webp,2,5,17,Avatar - Kobar Fighter,Fire and Water,GEN-106,"[{""id"":""pyro-punch"",""name"":""Pyro Punch"",""damage"":5,""conditions"":[],""description"":""Powerful fire punch"",""spektraCost"":[""fire"",""neutral""]},{""id"":""burning-body"",""name"":""Burning Body"",""damage"":9,""conditions"":[{""type"":""opponent_element"",""value"":[""air""],""effect"":{""type"":""damage_modification"",""value"":13}}],""description"":""This attack damage become 13 if the opponent is Air Element Avatar"",""spektraCost"":[""fire"",""fire"",""neutral"",""neutral""]}]",,"""2026-01-09T06:52:54.132Z""",,,GEN-013,,,,
107,fire-mera-sr,Mera,Super Rare,avatar,fire,kobar,/attached_assets/card_images/GENESIS/fire/avatars/Red Elemental Avatar for Apps_Ava - Mera.webp,2,3,13,Avatar - Kobar Fighter,Fire and Water,GEN-107,"[{""id"":""klaw"",""name"":""Klaw"",""damage"":3,""conditions"":[],""description"":""Sharp claw attack"",""spektraCost"":[""fire"",""neutral""]},{""id"":""revenge-fire"",""name"":""Revenge Fire"",""damage"":8,""conditions"":[{""type"":""opponent_tribe"",""value"":[""kuhaka"",""kujana""],""effect"":{""type"":""damage_modification"",""value"":13}}],""description"":""This attack damage become 13 if the opponent is Kuhaka or Kujana type Avatar"",""spektraCost"":[""fire"",""fire"",""fire""]}]",,"""2026-01-09T06:52:54.223Z""",,,GEN-014,,,,
